"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,"Link clicks",Navigation,"Profile visits",Follows,"Sticker taps"
18043749494613806,17841401475580469,nicki.entenmann,"Nicki Entenmann","Of course the week I have to be in a bikini I’ve worked out once and am a ravenous beast 💁🏼‍♀️",0,"04/30/2025 18:26",https://instagram.com/stories/nicki.entenmann/3622559474327361912,"IG story",,Lifetime,15627,14378,137,0,18,,14872,31,,
17968406612855097,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’ll let you know (maybe even a tad early 😏) when it’s out so you snag before it sells out!",0,"04/30/2025 18:19",,"IG story",,Lifetime,14753,13965,110,1,10,,15669,10,,
18032275613640997,17841401475580469,nicki.entenmann,"Nicki Entenmann",,6,"04/30/2025 18:18",,"IG story",,Lifetime,14395,13655,148,6,15,,12043,8,,
17935348157901402,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’ve been trying it for a month and it’s top 3 without question!!! So many Arnold Palmers by the pool in our future 😮‍💨🍋 @drinklmnt 🚨🚨FLAVOR OF THE SUMMER COMING TO YOU SO SOON 🚨🚨🚨 @drinklmnt",30,"04/30/2025 18:13",,"IG story",,Lifetime,15350,14429,274,41,87,,16114,17,,
18073661629852923,17841401475580469,nicki.entenmann,"Nicki Entenmann","That spring storm life ⛈️🌈",0,"04/30/2025 17:33",,"IG story",,Lifetime,15633,14658,156,0,1,,16229,31,,
18024134573678440,17841401475580469,nicki.entenmann,"Nicki Entenmann","Anyone on that BBL allegation 
and tiny waist journey. K same 🫡",34,"04/30/2025 13:22",,"IG story",,Lifetime,16572,15718,184,1,7,275,17018,50,,
17991616508643363,17841401475580469,nicki.entenmann,"Nicki Entenmann","Buy 3, get one free!",0,"04/30/2025 13:18",,"IG story",,Lifetime,16926,16228,107,0,2,62,17855,14,,
18079233241768980,17841401475580469,nicki.entenmann,"Nicki Entenmann","I hate reapplying spf on my face cuz I don’t wanna smear my makeup so this is 1000/10 for a spf refresh",0,"04/30/2025 13:18",,"IG story",,Lifetime,17317,16479,134,0,0,433,17963,10,,
18034640150330086,17841401475580469,nicki.entenmann,"Nicki Entenmann","Makes your under eye 
feel v Bonita 💅
I love taking on trips!  Apart of buy 3, get 1 free sale 
(Can be a variety of items!)",0,"04/30/2025 13:18",,"IG story",,Lifetime,17710,16768,135,1,2,479,18079,6,,
18047375108114208,17841401475580469,nicki.entenmann,"Nicki Entenmann","NICKI20 should work for discount!  #crpartner @colleenrothschild  If you are acne prone these pads are the best/nothing has helped like they do
And best daytime eye cream out there",52,"04/30/2025 13:15",,"IG story",,Lifetime,17786,16753,142,6,7,323,18226,8,,15
