"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,"Sticker taps",Navigation,"Link clicks",Follows
17976733901933264,17841401475580469,nicki.entenmann,"Nicki Entenmann","May we never forget when his favorite toy was a tampon",11,"10/29/2025 18:59",https://instagram.com/stories/nicki.entenmann/3754485688965089802,"IG story",,Lifetime,13990,10990,139,20,21,182,,10851,,
17912133801094400,17841401475580469,nicki.entenmann,"Nicki Entenmann","And tomorrow
our baby boy is 5 
😭",0,"10/29/2025 18:56",https://instagram.com/stories/nicki.entenmann/3754484120958128234,"IG story",,Lifetime,13812,11190,129,0,1,15,,13064,,1
18027334757767437,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’m eating my feelings rn-this is crack 
Dodgers better get their shiz together!",0,"10/29/2025 18:24",https://instagram.com/stories/nicki.entenmann/3754467862359394080,"IG story",,Lifetime,13536,11415,68,11,6,16,,11835,,
18085403317960704,17841401475580469,nicki.entenmann,"Nicki Entenmann","@tpain will always hit different 
Always.",55,"10/29/2025 15:45",https://instagram.com/stories/nicki.entenmann/3754388204758938508,"IG story",,Lifetime,14504,12325,236,21,20,46,26,12776,,
17894569593199912,17841401475580469,nicki.entenmann,"Nicki Entenmann","So many big, exciting and scary things happening in my life (and I know a lot of yours too) and I listened to this episode today 

Trust in Gods plan. His timing is ALWAYS right. Everything will all make sense someday-don’t give up",0,"10/29/2025 12:21",,"IG story",,Lifetime,14329,12407,78,0,8,3,,12815,,
17903129901142323,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’m not selling this program as a Disney walk in the park- its more like fight club 😬 Comment START here if you wanna join Monday’s 3 week round 
Direct. To the nitty gritty point so you can actually get the results",42,"10/29/2025 11:40",,"IG story",,Lifetime,13900,12600,61,0,13,36,,12883,,
18117049528558140,17841401475580469,nicki.entenmann,"Nicki Entenmann","Sorry not sorry. I am not here to tell you what you want to hear- that’s what left me in the same spots for years. I am here to tell you what yoi need to hear",40,"10/29/2025 11:37",,"IG story",,Lifetime,14303,12817,169,5,5,47,,12350,,1
18063863120621900,17841401475580469,nicki.entenmann,"Nicki Entenmann","Click the link to purchase ARMRA colostrum and use code NICKI at checkout to get 15% off your first order  @tryarmra #armraad #sponsored #armrapartner",0,"10/29/2025 11:16",,"IG story",,Lifetime,13874,12940,17,1,4,0,,13288,36,
17876662134427558,17841401475580469,nicki.entenmann,"Nicki Entenmann","@tryarmra #armraad #sponsored  #armrapartner",53,"10/29/2025 11:13",,"IG story",,Lifetime,14066,13227,19,0,3,4,,13404,36,
18083144293973304,17841401475580469,nicki.entenmann,"Nicki Entenmann","@tryarmra #armraad #sponsored #armrapartner",51,"10/29/2025 11:13",,"IG story",,Lifetime,14922,13511,27,1,5,3,,13916,,
18072152192209521,17841401475580469,nicki.entenmann,"Nicki Entenmann","Miz meals for life",0,"10/29/2025 10:29",,"IG story",,Lifetime,15759,13703,58,0,4,2,,14290,395,
18066883274523939,17841401475580469,nicki.entenmann,"Nicki Entenmann","The clean counter of IG…..

Vs the reality of a mom of 3",12,"10/29/2025 09:36",,"IG story",,Lifetime,15676,13971,96,0,2,26,,12011,,
17976922526941236,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’ll link in a little while too! 
But I like to try new things and use a bunch of different products 

I may have a discount code 
coming in November for merit 🫢",59,"10/29/2025 09:19",,"IG story",,Lifetime,15847,14202,35,0,8,6,,14223,,
18096204652831953,17841401475580469,nicki.entenmann,"Nicki Entenmann","Moms who have spotless kitchens- how do you do it!?",54,"10/29/2025 09:12",,"IG story",,Lifetime,17239,14973,91,1,30,55,,14456,,
18006518792812695,17841401475580469,nicki.entenmann,"Nicki Entenmann","Getting ready for tonight 
🫰🏼⚾️💈✂️",5,"10/28/2025 15:18",,"IG story",,Lifetime,11351,9770,64,0,10,13,,10485,,
17983220009873870,17841401475580469,nicki.entenmann,"Nicki Entenmann","Signs of electrolyte imbalance: 
Fatigue 
Salt craving
Low blood sugar
Brain fog
Headaches
Muscle cramps 
Constipation 
Dry skin 
Dizziness Lemonade is 🫰🏼🫰🏼",0,"10/28/2025 13:45",,"IG story",,Lifetime,10835,9651,21,0,4,2,,10360,26,
18102641980628822,17841401475580469,nicki.entenmann,"Nicki Entenmann","Free sample pack here! 
(Best value is the insider bundle!) Favorite electrolytes",0,"10/28/2025 13:42",,"IG story",,Lifetime,11058,9812,20,0,4,3,,10481,96,
18061542941431628,17841401475580469,nicki.entenmann,"Nicki Entenmann",🙏🏼🙏🏼🙏🏼🙏🏼,15,"10/28/2025 13:19",,"IG story",,Lifetime,11342,9970,188,4,5,17,,10707,,
18152686555408033,17841401475580469,nicki.entenmann,"Nicki Entenmann","Ty: what did you do today?
Me: 👁️👄👁️",55,"10/28/2025 12:52",,"IG story",,Lifetime,11671,10108,100,9,8,25,,10638,,
18373551565145620,17841401475580469,nicki.entenmann,"Nicki Entenmann","They’re an investment but UNMATCHED with compression",37,"10/28/2025 12:45",,"IG story",,Lifetime,11966,9500,38,9,2,7,,9869,992,
18088963465920153,17841401475580469,nicki.entenmann,"Nicki Entenmann","Use on led mask, kids sports equipment that can’t be washed, on my face directly after working out, kids faces after sweating",0,"10/28/2025 12:25",,"IG story",,Lifetime,12046,10141,12,0,5,0,,11206,198,
18084956269788645,17841401475580469,nicki.entenmann,"Nicki Entenmann","As a mom of young kids, I can’t live without this baby",0,"10/28/2025 12:24",,"IG story",,Lifetime,11276,9540,12,2,3,5,,10687,66,
18085188689507378,17841401475580469,nicki.entenmann,"Nicki Entenmann","Just bought 3 of these! 
My girlfriend’s LOVE it",0,"10/28/2025 12:21",,"IG story",,Lifetime,11980,9662,17,2,2,1,,11282,149,
18117548263528762,17841401475580469,nicki.entenmann,"Nicki Entenmann","I do dark! 
No stink, no streak, clean and 
works so good 
I’ll be doing this before Vegas!",0,"10/28/2025 12:19",,"IG story",,Lifetime,12631,9733,24,0,2,4,,11377,304,
