"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18066033485469830,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for all our July favorites! 

One of my favorite recaps of the year so far-simple outfits, supplements ,favorite skincare, sneakers, pj and so much of it is on sale!!",0,"08/03/2025 07:27",https://www.instagram.com/p/DM5W2CHg9ub/,"IG carousel",,Lifetime,85079,35926,608,8,10,1460,114
18300071497248768,17841401475580469,nicki.entenmann,"Nicki Entenmann","I see my future….and it’s spicy 😏😏😏

Any other girl moms out there ready to give it to our daughters straight?",0,"10/28/2025 12:09",https://www.instagram.com/reel/DQXTcLGEkf-/,"IG reel",,Lifetime,107431,74953,3747,2881,34,50,369
18067744442458534,17841401475580469,nicki.entenmann,"Nicki Entenmann","For years I worked out to shrink myself.
Every carb, every calorie, every missed workout felt like failure.

Now I train to honor myself.
To move the body that’s carried me, healed me, and gave me three beautiful babies.
Strong. Grateful. Free. ✨

The freedom, peace and therapy the gym has given me I’m forever grateful! 

Comment START if you want a link to my 21 day reset with my workouts included or my workout set!",10,"10/27/2025 12:26",https://www.instagram.com/reel/DQUwYvWEmrl/,"IG reel",,Lifetime,22622,15643,779,21,5,24,24
18045813953412659,17841401475580469,nicki.entenmann,"Nicki Entenmann","Shared some thoughts on TikTok this week and wanted it to live here. ❤️

Some of the most successful women I know and love possess these qualities and it’s a reminder that being different, bigger, better and becoming the best version of yourself often means you’ll be misunderstood and unsupported. 

When you’re doing the work that 99% of women won’t do, not a lot of people will understand you. That’s. Ok. Be misunderstood, be bold and become unstoppable.",56,"10/26/2025 13:41",https://www.instagram.com/reel/DQSUSaqEnvC/,"IG reel",,Lifetime,13739,10994,425,131,9,16,72
18025387856759722,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment SHOP for some of my fall favorite workout fits! All under $35 

Make sure you’re following me so you can get my dm with direct links 

S in leggings m in tops 
Truly some of the BEST leggings I’ve found on Amazon for under $35!",48,"10/25/2025 07:25",https://www.instagram.com/reel/DQPEfHMDStV/,"IG reel",,Lifetime,11569,9322,230,2,2,212,17
17926202091157837,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment SHOP if you want any of these AF favorites! 
Make sure to follow up so dm goes to you! 

Give me all the cropped jackets, sweat sets and sweater refresh!",54,"10/23/2025 09:26",https://www.instagram.com/reel/DQKIryBDbuR/,"IG reel",,Lifetime,26753,18819,407,17,4,191,41
18045158000674331,17841401475580469,nicki.entenmann,"Nicki Entenmann","Help is on the way dearrrrrrrrr. 😏
Comment SHOP too if you want any links from today’s outfits 

Fact and truth > being liked. A pillar I will stand on for life",0,"10/22/2025 14:25",https://www.instagram.com/reel/DQIGSdMEo8g/,"IG reel",,Lifetime,451438,308435,15061,18002,100,140,850
17886789555383873,17841401475580469,nicki.entenmann,"Nicki Entenmann","And one day, you come up for air and remember who the F you are. 

The baddie who deserves nothing but love, support and people who want to see you win.🫰🏼
Haters are the motivators and if you aren’t making people mad, you’re not doing anything important. 

If you want a free meal plan or link to my outfit comment here!",14,"10/21/2025 13:21",https://www.instagram.com/reel/DQFZf2mkgP6/,"IG reel",,Lifetime,21755,16904,639,24,2,52,44
18044854238432232,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment SHOP for some of my favorite affordable workout pieces under $35! Yes the color is rich, but also the quality is incredible. I’m a athleisure snob and will only share the best of the best! Let Me know if you want me to try these on and style! 🍂🍁☕️",15,"10/21/2025 07:56",https://www.instagram.com/reel/DQE04nNDded/,"IG reel",,Lifetime,63439,55951,833,58,16,674,223
18091851793675272,17841401475580469,nicki.entenmann,"Nicki Entenmann","10 days in and it was def a trust the process 2 weeks! 

I have a skincare treatment highlight on my page if you want to see the entire experience! For my first co2 laser, I’m very pleased with the results. A lot less dullness, dryness, hyperpigmentation and an internal glow is happening! 

It is pricey and you have to commit to down time but love investing in my skin this year!",22,"10/20/2025 13:27",https://www.instagram.com/reel/DQC1-RJkvBK/,"IG reel",,Lifetime,82927,50893,846,122,2,60,83
17863606737496050,17841401475580469,nicki.entenmann,"Nicki Entenmann","comment SALT for free sample pack of LMNT to make one of my favorite mocktails (or great with tequila!) my kids LOVE this drink and they have no idea they’re also getting in electrolytes #momwin 

Stay hydrated + add electrolytes –. I felt terrible when I first started working out until I figured out I was missing electrolytes. Instant energy boost, important for hormones, helps with dehydration, headaches- I prefer LMNT cuz it’s tangy and they have sparkling cans Start your morning with water + electrolytes
👉 Carry a refillable water bottle everywhere
👉 Add a pinch of salt + lemon to water if you don’t have packets

24 oz Soda water
2 packs of citrus LMNT
Eye ball marg mix. I usually do 1/4-1/2 c depending on how sweet I want 
Comment Salt for free sample pack with purchase!",35,"10/18/2025 07:53",https://www.instagram.com/reel/DP9GFGzEeDl/,"IG reel",,Lifetime,32841,26330,506,49,2,72,48
17966558120968648,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’ll come out of retirement if I get 8 hours of sleep, 3 full meals, no responsibility the next day, 100 oz of water, red light mask and I’m not on my period. 

But when I do come out, you best believe it’s EPIC! Anyone else?!",14,"10/17/2025 11:22",https://www.instagram.com/reel/DP65Pi5krU1/,"IG reel",,Lifetime,189842,133226,6027,3931,47,71,198
18082221985820810,17841401475580469,nicki.entenmann,"Nicki Entenmann","When you get your mom to do more of your dumb antics 😂 besties for life",24,"10/16/2025 15:04",https://www.instagram.com/reel/DP4t1qlEmiN/,"IG reel",,Lifetime,57240,37384,1453,165,6,133,35
18080481734073232,17841401475580469,nicki.entenmann,"Nicki Entenmann","Anyone else? 😂  direct correlation on how cute I feel vs what version you’re going to get of me. Aka this coffee better do its job and make me feel skinnnyyyyyy. 

It is officially cold and fall here -meaning coffee, mocktails and fun warm cocktails! If you want some macro and low cal friendly options, comment DRINK here ☕️ and SHOP for outfit link (jacket on sale!)",7,"10/13/2025 11:36",https://www.instagram.com/reel/DPwnuCbkmrI/,"IG reel",,Lifetime,432801,289653,13203,8545,247,551,698
18060315911571876,17841401475580469,nicki.entenmann,"Nicki Entenmann","Hey besties!!! Welcome home 🫰🏼 comment SHOP if you want links to anything!! 

Hi 👋🏻 I’m Nicki. A size 4-6, athletic build , working mom of 3, who hated her thighs most her life. I finally LOVE, embrace, and share how to dress them with confidence! (Mostly in athletic wear!) 

sarcasm is my middle name, we’re here for a good time, good laugh and good causal outfit 🫶🏻 (one you’ll actually wear 🤌🏼) 

Follow for more realistic mom fits! 

All sizes and shapes welcome-must have a stellar personality tho 😜",18,"10/12/2025 12:49",https://www.instagram.com/reel/DPuLSJyEne9/,"IG reel",,Lifetime,17615,14266,368,5,8,86,18
17855027055542484,17841401475580469,nicki.entenmann,"Nicki Entenmann","Boys spending 5 hours swinging sticks around sounds suspicious 😜 this TikTok trend is 💅🏼

And for anyone who needs to remember this-it’s a joke 😒",7,"10/11/2025 09:30",https://www.instagram.com/reel/DPrPopajYG6/,"IG reel",,Lifetime,103759,61097,1680,678,6,38,60
18415172362119927,17841401475580469,nicki.entenmann,"Nicki Entenmann","It’s ok if you want to lose weight. There I said it- in fact, if it’s to BETTER your health and happiness, I encourage it.

Comment START  if you want to join my 21 day reset starting Monday!! 

before you can achieve it, you have to promise yourself you’ll stay consistent. 

The promises you make to yourself are the hardest to keep and easiest to break. 

The reason you lack confidence is because you lack self belief. And the reason you lack self belief is because you dont keep the promises you make to yourself. 

Ive told myself for years i would keep weight off once and for all- yet i always found a reason to stop because no one was looking. 

18 months ago  I finally stuck with it - not because i want to share it here, but because i promised myself i would do it- and im keeping that promise. And now im down almost 17 lbs 

When you make promises to yourself and you dont keep them, you reinforce the thought pattern that you are someone who doesnt follow thru-

Just starting with the little shit- making my bed, going to the gym, saving the money- follow thru on what you said you will do and it’ll bleed into every other capacity of your life

Show up. For you. But also for the people who are praying on your downfall 🫶🏻

Let’s go.",29,"10/10/2025 07:03",https://www.instagram.com/reel/DPoaHTADQAh/,"IG reel",,Lifetime,59052,36930,1645,10,11,145,37
17921632050036611,17841401475580469,nicki.entenmann,"Nicki Entenmann","And one day, you come up for air and remember who the F you are. 

The baddie who deserves nothing but love, support and people who want to see you win. And everyone that isn’t bringing that can see their way out of your life. 
🫰🏼🫰🏼",10,"10/09/2025 09:38",https://www.instagram.com/reel/DPmHDhcjVQQ/,"IG reel",,Lifetime,40191,27348,1856,87,5,49,120
18057592136551682,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment SHOP for my very top picks for the final day of prime big deal days. No fluff, no bs, straight forward items I use daily and would buy again and again until the end of time! 

Don’t forget to comment on my reels and stories to enter in the big Amazon gift card gift away ! 💅🏼",114,"10/08/2025 11:47",https://www.instagram.com/reel/DPjw-fhkiBS/,"IG reel",,Lifetime,27837,21182,277,22,0,367,30
17892793323205014,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment SHOP for all my top beauty picks! One category that killed it this year is beauty! 

Items I use daily and recommend to any girl-great deals, great prices, great products!",0,"10/08/2025 06:39",https://www.instagram.com/p/DPjNzmlDbe-/,"IG carousel",,Lifetime,47697,18474,513,2,4,1122,25
17874826893425296,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment SHOP for the ultimate dewy glass skin routine! My skin has never felt more hydrated and glassy 😍 everything is also up to 31% off! 

This combo has become a non-negotiable in my routine —
✨ The collagen mask seals in moisture
✨ The serum gives that plump, dewy glow
✨ And the Booster Pro helps it all absorb deeper for real results

Perfect timing too — it’s part of the Prime Big Deal Days 👏
💬 Comment “shop” to grab my favorite pieces at a massive Prime Day discount

#medicube #skincareroutine #hydratedskin #primebigdealdays #glassskin #boostedglow",74,"10/07/2025 16:06",https://www.instagram.com/reel/DPhpsG4klLR/,"IG reel",,Lifetime,41481,32908,334,24,8,506,78
18064959713059481,17841401475580469,nicki.entenmann,"Nicki Entenmann","✨ Amazon Prime Big Deal Days are HERE ✨

Starting my morning with a quick workout + my favorite all-in-one nutrition shake 🙌 Ka’Chava is fueling me with protein, nutrients, and energy to power through the day.

➡️ It’s 20% off on Amazon right now — but only for a limited time during Prime Big Deal Days!

🍌🥜 My go-to recipe: almond milk, banana, peanut butter, ice + 2 scoops of Ka’Chava. Thick, creamy, and packed with everything my body needs — without the whey “side effects.” 💨💨

🛒 Comment SHOP and I’ll send you the Amazon link to grab yours before the deal ends!
@kachava 
@Amazon #Kachavapartner #AmazonDeals #AmazonPrime #AmazonMustHaves #AmazonFinds
#PrimeDayDeals #FoundItOnAmazon",60,"10/07/2025 08:50",https://www.instagram.com/reel/DPg3-wMjR05/,"IG reel",,Lifetime,31631,26651,574,8,6,386,36
18095121763775257,17841401475580469,nicki.entenmann,"Nicki Entenmann","🏋🏼‍♀️$1000 AMAZON GIFT AWAY🏋🏼‍♀️TWO of you will win $500 to Amazon!!!! 👏🏼👏🏼
 Comment SHOP to shop my picks for the fitness lover & I’ll DM you the master list! 

To enter Amazon gift ing ❤️
💪🏼Follow me @nicki.entenmann 
💪🏼Like this post + Tag a friend in comments

BONUS:
🫰🏼Every comment & tagged friend is an extra entry!!
🫰🏼Every share to your stories or repost  is an extra entry!!

Closes 10/12/2025 the winners will be announced by 10/19/2025… This is not associated with Instagram, and the winners must be located in the USA. Thank you to @amazoninfluencerprogram (https://www.instagram.com/amazoninfluencerprogram/) for sponsoring this gifting!!

🚨
PSA: THIS IS MY ONLY ACCOUNT! Winners will never be asked for any personal information!!!",0,"10/07/2025 05:38",https://www.instagram.com/p/DPgiCfNjQKx/,"IG carousel",,Lifetime,67376,25769,1378,215,56,4329,128
18079425569004197,17841401475580469,nicki.entenmann,"Nicki Entenmann","Give more hype to the people you know than the ones that you don’t. 👏🏼👏🏼👏🏼 I’ll say it since most won’t. 

I see so many incredible women give up on their dreams because they feel unsupported from the people they love the most. You know what gets to success on social media- being cringe, staying consistent and having the people encourage you to keep going! 

 T swift- a billionaireeeeee posts something and everyone comments, likes and shares but your friend starts a baking business after being a SAHM for 10 years and you can’t even give her page a like.  Get. A. Grip. And start supporting the people who haven’t made it yet.",40,"10/06/2025 14:33",https://www.instagram.com/reel/DPe6DUekc-6/,"IG reel",,Lifetime,130662,104334,4618,691,195,585,258
18084876950502186,17841401475580469,nicki.entenmann,"Nicki Entenmann","Scariest place to be is the same place you were a year ago. Grow. Change. Evolve. And NEVER apologize for it. What a privilege to spend another day on His creation. 

Share if you agree ❤️",11,"10/05/2025 10:57",https://www.instagram.com/reel/DPb85VzkYzC/,"IG reel",,Lifetime,19688,16009,956,109,2,37,70
18058236761430143,17841401475580469,nicki.entenmann,"Nicki Entenmann","Tell me your favorite or comment SHOP and I’ll send you a direct link! 

Say it with me. Just cuz it’s affordable doesn’t mean it’s worth the cost because if you don’t reach for it, what’s the point?! I am an athleisure snob and want to do the digging and trying so you can’t have to!! 

ALL of these are incredible quality (I’m talking almost identical to popular athletic brands) , affordable and adorable! Great to refresh for fall with fun colors and great shapes! 

s in bottoms (I’d size down 1 in blue and red) 
M in tops! 

5’4 140 lbs size 4-6 denim 34D bra 

Amazon, Amazon athleisure, athlete, mom fits, leggings, sports bras, fall athleisure, mom life",59,"10/02/2025 10:11",https://www.instagram.com/reel/DPUI1k1jRnW/,"IG reel",,Lifetime,90478,64226,831,72,34,1238,249
17852787468504153,17841401475580469,nicki.entenmann,"Nicki Entenmann","Officially 38 🥳🙌🏻🎂 and what a magical year 37 was! The one that taught me to be bold, have the courage to be disliked, speak Jesus truth, pour into my circle & myself, love my life out loud and unapologetically, and remember my most important work I’m doing is within my own walls. Hope these lessons will inspire others- thank you so much for being here!",0,"10/01/2025 09:06",https://www.instagram.com/p/DPRdECTDeYp/,"IG carousel",,Lifetime,120784,55670,2532,75,22,174,236
18063083228524764,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment below for a free meal plan, free sample pack with purchase of my favorite electrolytes and a list of my daily supplements! 

 1️⃣ nutrition first – 90% of fat loss happens in the kitchen. Real food > processed food. If you’re lost on meal ideas, ask ChatGPT for inspo (it’s saved me so many times 🙌). If you know your macros-it can help.l build ideas within them. Build plates with protein & veggies first 

2️⃣ Stay hydrated + add electrolytes –. I felt terrible when I first started working out until I figured out I was missing electrolytes. Instant energy boost, important for hormones, helps with dehydration, headaches- I prefer LMNT cuz it’s tangy and they have sparkling cans Start your morning with water + electrolytes
👉 Carry a refillable water bottle everywhere
👉 Add a pinch of salt + lemon to water if you don’t have packets

3️⃣ Move your body – you don’t need a crazy workout plan to start. Go for a walk after dinner, do 10 squats while the coffee brews, stretch before bed, or put on your favorite song and dance it out. Movement is medicine.

4️⃣ Don’t chase perfection – one good choice leads to the next. It’s about consistency, not extremes.

👉 Start small. Stay consistent. Stack those little wins, and watch them add up to the big results you’re after.",70,"09/30/2025 12:45",https://www.instagram.com/reel/DPPRP0xkrRw/,"IG reel",,Lifetime,14173,11443,471,5,1,559,34
18080472245484524,17841401475580469,nicki.entenmann,"Nicki Entenmann","So many out there inspiring us…not to be like them 😏

Share or repost if you feel this?!",7,"09/29/2025 15:46",https://www.instagram.com/reel/DPNBLl-DQbf/,"IG reel",,Lifetime,66337,42733,1957,226,15,82,91
