"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18102618709507857,17841401475580469,nicki.entenmann,"Nicki Entenmann","Who’s in their grateful era?!

If you want to try my favorite electrolyte comment “salt” to grab snag a free sample pack with any purchase!

Spring into action with sunshine and sparkling electrolytes!
Ready for anything with my go-to LMNT drink that
keeps me hydrated and sparkling. Life’s just better when you’re this refreshed! 

Comment “salt” to grab your favorite electrolytes and snag a free sample pack with any purchase! # 0",10,"03/31/2025 10:20",https://www.instagram.com/reel/DH3zM2Xudwl/,"IG reel",,Lifetime,1740,1541,26,0,2,4,2
18096143380537454,17841401475580469,nicki.entenmann,"Nicki Entenmann","Who’s in their grateful era?! 🤜🏼🤛🏼

If you want to try my favorite electrolyte comment “salt” to grab snag a free sample pack with any purchase! 🧂💧

Spring into action with sunshine and sparkling electrolytes! 🌞✨ Ready for anything with my go-to LMNT drink that keeps me hydrated and sparkling. Life’s just better when you’re this refreshed! 💦🏃‍♀️

Comment “salt” to grab your favorite electrolytes and snag a free sample pack with any purchase! 🧂💧",10,"03/31/2025 09:27",https://www.instagram.com/reel/DH3tMxOgiw1/,"IG reel",,Lifetime,51550,34140,1376,38,5,48,73
17952154157943189,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for the direct link to all of my AF sale picks!

Everything is 25% off plus additional 15% off with code SPRINGAF! Perfect time to add fun, bright and spring capsule athleisure pieces to your closet for warm weather!

Follow @nicki.entenmann on @shop.ltk app to shop these outfits and other @abercrombie favorites!

#liketkit #Itkfitness #Itkstyletip #abercrombiestyle

https://liketk.it/59qBT",7,"03/30/2025 15:44",https://www.instagram.com/reel/DH1zLLWOZfJ/,"IG reel",,Lifetime,11803,10449,10,3,1,2,1
18104255767497702,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for the direct link to all of my AF sale picks!🩱🦋🌻💋

Everything is 25% off plus additional 15% off with code SPRINGAF! Perfect time to add fun, bright and spring capsule athleisure pieces to your closet for warm weather! 

Follow @nicki.entenmann on @shop.ltk app to shop these outfits and other @abercrombie favorites! 

#liketkit #ltkfitness #ltkstyletip #abercrombiestyle 

https://liketk.it/59qBT",7,"03/30/2025 15:31",https://www.instagram.com/reel/DH1yCtaArbI/,"IG reel",,Lifetime,40397,25956,752,9,8,126,59
17904811407108862,17841401475580469,nicki.entenmann,"Nicki Entenmann","Ya so that was intentional 😏 like if you’re in your unbothered, unstoppable, best glow up era you’ve ever had 💅",8,"03/30/2025 12:02",https://www.instagram.com/reel/DH1aIcUyFMX/,"IG reel",,Lifetime,61447,37377,2074,311,8,41,84
18046619447343934,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for these viral jelly masks!
Great for hydrating, firming, elasticity and improving skin barrier! She. You saw it correct, it’s salmon “DNA” aka swimmers so get past that for the hydrating skin of your dreams

I’ll report back once I use them more but want to send to you before they sell out-going viral on TikTok!!

You can sleep in them or just wear 3-4 hours and tap remaining product into skin",48,"03/29/2025 08:05",https://www.instagram.com/reel/DHyaElQuzMx/,"IG reel",,Lifetime,1880,1613,11,0,1,3,0
18022377146676686,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for these viral jelly masks! Great for hydrating, firming, elasticity and improving skin barrier! She. You saw it correct , it’s salmon “DNA” aka swimmers so get past that for the hydrating skin of your dreams 😂😂 

I’ll report back once I use them more but want to send to you before they sell out-going viral on TikTok!! 

You can sleep in them or just wear 3-4 hours and tap remaining product into skin",43,"03/29/2025 07:46",https://www.instagram.com/reel/DHyX8m7gq6q/,"IG reel",,Lifetime,58696,38368,566,34,6,235,23
18055394716934694,17841401475580469,nicki.entenmann,"Nicki Entenmann","It’s the swass for me 😏
Your girl is back at it and hitting the training hard!! I’m officially doing the lunges and row for our @hyroxamerica relay! Working on perfecting form before increasing pace 

Leg day workout: more reps than heavy weight 
1000M row 

Gym: @paragonathleticcenter 
Trainer: @calebfitco 

#gymtok #momswhotiktok #momswhoworkout #momlife #hyroxtraining #hyrox",59,"03/28/2025 15:08",https://www.instagram.com/reel/DHwlowIyS5y/,"IG reel",,Lifetime,33710,23080,685,2,4,29,22
18062559341297085,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” to shop sale! 

Spring into style with my favorite AF pieces! 🌸💃 From flirty dresses to comfy casuals, everything is 25% off PLUS an additional 15% off with code SPRINGAF. Swipe to see all the looks and comment ‘link’ to shop your favorites at unbeatable prices. Hurry, before they’re gone! 

Follow @nicki.entenmann on @shop.ltk app to shop these outfits and other @abercrombie favorites!

#Abercrombie #AbercrombieFinds #springstyles",0,"03/28/2025 10:56",https://www.instagram.com/p/DHwJAeIAfcq/,"IG carousel",,Lifetime,61977,35545,629,4,3,339,84
18090173596571383,17841401475580469,nicki.entenmann,"Nicki Entenmann","Best believe them sis 💅 The real, raw, unbothered era 2025 continues in this corner! like if you agree! 

Know who is in your circle and who is in your CORNER. Some will make you the villain because you hold people accountability. Don’t stop being emotionally mature and let them! Hold space for you and people who support and love you. 

If you thought of someone specific listening to this, you deserve more. Keep shining and never drop your standards on friendships, relationships and careers.

Follow @nicki.entenmann for more real raw and unfiltered mom life 🫶🏻",10,"03/27/2025 08:03",https://www.instagram.com/reel/DHtQZp4g-Ot/,"IG reel",,Lifetime,603306,420912,27835,3618,235,556,4149
