"data-table__image src","data-table__product-name","data-table__row-ltks","data-table__row-ltks 2","data-table__row-ltks 3","data-table__row-ltks 4","data-table__row-ltks 5","data-table__row-ltks 6"
"https://product-images-cdn.liketoknow.it/hS3ppK78jjpOfMY72qNLIyyZjX4nW_CFmviN0CdYdUt0vLoV6TCELgjOpuYEEJhfqGyPyZP4jWe3Jp7qWMidBf0HZaJSma9LWJ9VljrCQ9DQ1KaM92ajxmNzkhXi_bvtzmp.OYsdkzthBVw.NNx2nPkO659fA3g_AA2g7bfznXonWIkuPUHrC6FLwDQ-?fm=jpeg&auto=format&w=40&h=40&fit=crop","October, 22nd 2024","1,209","63","5.21%","366","30.27%","$500.89"
"https://product-images-cdn.liketoknow.it/fpViTH5VjVePCUIJcE7y..HVYcJTYLdCqC9D1x43i6Rh5OiupIzKUZbLMILrLb8Vjd2ERyVsHspqoQwM3kSACJ.x9JoJlhgcDlTcsIg_OmKVuS1q0iWvxPECnSlQF4PljGq6aJA46qYHQ_3l96KZq0XaooA1TuL2dKT4qseQjO0yEK.zfNpP6r6r7_I-?fm=jpeg&auto=format&w=40&h=40&fit=crop","November, 9th 2024","728","124","17.03%","260","35.71%","$413.31"
"https://product-images-cdn.liketoknow.it/OP5Iuxw_cCaMPfp4AqCdADmELEOEo4z7Xulxj7VJ_czv6Vti0XNPCvOt_JofRAoMjXyo3tHIle6s_QnrPW6WkaJaN9lYDoWv12YcQXoID2i3K8UqnDYtdU10EGevEjH7ri4YHLoeGEJKhQTtFh5FZeYExO3uAnoFOkbUdIT4p.ltNEwqBpi9Hw440Qg-?fm=jpeg&auto=format&w=40&h=40&fit=crop","November, 22nd 2024","238","34","14.29%","126","52.94%","$332.82"
"https://product-images-cdn.liketoknow.it/w_u8.pucHmf96A1ipfuRkfK9T__xLN27NLD2pMk3D2tYXuV3hfQZ1OTh4JgFDyGHRcUzdk6xUg1HMtsBGd_mSMSqHwoDoxK83xFbEHJZvI2dS.vu4E5D4FKvU4vsHciCg1EnfgpbRvEnX.yGITAaX5hhBBi.KhKfIUYD2Xze4lcW5rWApP6nWrgHKNw-?fm=jpeg&auto=format&w=40&h=40&fit=crop","November, 8th 2024","472","29","6.14%","70","14.83%","$269.04"
"https://product-images-cdn.liketoknow.it/26qT5LXhi5ZN0EshTqK0CaaDwVrCIsf_cqmSbuYsK1CtbAkJuzpuUSzodnN9EpDX5s34fldn.4WS6tx_WBHOt7cN6nQ0UclXY8oTgJaNzr8piCY1giIs9WS6SOtjb3G_XSPwL5KsC.vT7JX2mC.9UArS.7IcubVJKN.w.y3mHvRSyxamPuWEAgZM7Rs-?fm=jpeg&auto=format&w=40&h=40&fit=crop","October, 22nd 2024","604","39","6.46%","194","32.12%","$264.61"
"https://product-images-cdn.liketoknow.it/Gav7gWc39LtC89sT7Q_hhV_hBryAWy8Yk7RNLHDJeu24l7b4mC1FQSX8SmkI0i.g5ELVq8MC7YmUE.Fk6A3FG.9a2taNUc2HnEMQgDrSSbxlDEcQdbu0ufqdxFi9iHDvwgdIcjZ02Ryoq_mEo2p8bQ5X3F_9InzIuYSaWM_GBi3ji8QkfiytuaV_j4w-?fm=jpeg&auto=format&w=40&h=40&fit=crop","November, 10th 2024","763","59","7.73%","200","26.21%","$248.84"
"https://product-images-cdn.liketoknow.it/bj2OQFcnbptB93oCi3SGgTsjiCSjAQnVDWnjMC0BOPMdR_rHyrgiGlrB6JD0zMBBZc4HDqcnhi7ppeWuOir7UKIzdqs52AeGv_lM0KZMJpdoNBnyTlxrlRoQpgQs13ttRxwVTBAcIjehp1ADDx36HFMyWN1azMnGHsVBZK41Nms3FG.xyQ61rp_gRPw-?fm=jpeg&auto=format&w=40&h=40&fit=crop","November, 30th 2024","813","47","5.78%","79","9.72%","$241.44"
"https://product-images-cdn.liketoknow.it/15hvoRCIhY_F4TbPwFQPF6UlSBRYh9b9L02AzzanSpYKAIbnWN2jvpzVCEiwjjyT6fqRtmxvg9Z50YD3psSp0PoowVXypf6X05.11bCTbb8KksubgDbjw4Uqw1YCobvH8UTcj4zFkMWz3PmTiAMN7KwqNO6X0fd4anbUnOmYQjNSJfOqfYJNhoymgsA-?fm=jpeg&auto=format&w=40&h=40&fit=crop","December, 1st 2024","1,010","39","3.86%","55","5.45%","$212.41"
"https://product-images-cdn.liketoknow.it/UpoqhT_4vPfKehtWsPlwLZGPOYG1Q2TQavCzaEqPjKHzNa7bW42vWJTu6d5bz_4T2qM7YXrBphaOoIEgZEpD8ISRk5.gB8G5E8Gj7ebKG36vLDpvyHoKV4QBRh_V8LSFwZYIWHqrUN79D8iZjsdBlr1QwbluEvKFzSr0SZI3AYW_9Rf1wHkGdxBI9Ps-?fm=jpeg&auto=format&w=40&h=40&fit=crop","November, 2nd 2024","669","6","0.9%","18","2.69%","$205.15"
"https://product-images-cdn.liketoknow.it/GoV1_ifWq5ocN3Xm2._h05aaS6CxBNO9ZNtH81esUsjAZpkQzUfSNmr84tkgb.3X61eimk8sN.fqcWtiZnsSW9g2iJPdBf1f8wza__4a4TOkQGmb1REwoivIcFhbTVvjW4GEz1BdBvPUB.FWIOd__.gWWukhqkv770eIv6uxOnJ43u.M1_ge24oW_wo-?fm=jpeg&auto=format&w=40&h=40&fit=crop","November, 8th 2024","482","30","6.22%","49","10.17%","$200.73"
