Date,Brand,Type,Publisher,Product,Direct to retailer link,Status,Commission,Payment
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.36",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.36",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$1.04",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.10",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.53",""
10/30/25,"Colleen Rothschild Beauty","Sale commission","Nicki Entenmann","Glycolic Acid Peel Pads With Blue Agave | Award Winning Beauty","https://rstyle.me/+HisqBZhMIQ3d7iOmNfklsw","Open","$8.40",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.06",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.01",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.02",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.05",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.02",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.04",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.02",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.01",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.03",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.02",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.03",""
10/30/25,"Target","Sale commission","Nicki Entenmann","Women's Short Sleeve Cozy Knit Button-Down Cardigan Sweater - Universal Thread™","https://rstyle.me/+BuOzZraP39Mj-ORVfAWVzg","Open","$0.04",""
