"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Sticker taps","Link clicks",Follows
18099843943602758,17841401475580469,nicki.entenmann,"Nicki Entenmann","I try to make the biggest part of my plate veggies! 

 one massive sweet potato, Caesar salad 
Burger on sourdough bread
Toppings",0,"07/23/2025 17:28",,"IG story",,Lifetime,20400,19082,118,1,18,7,19176,,,
17909231127186851,17841401475580469,nicki.entenmann,"Nicki Entenmann","I washed all the clothes I took to South Carolina with my favorite tube of lipstick 😒😒and I can’t get it out of anything SOS",0,"07/23/2025 19:14",,"IG story",,Lifetime,21486,19719,25,0,6,52,20767,,,
18049438286562410,17841401475580469,nicki.entenmann,"Nicki Entenmann","This probably isn’t the answer to geting the stains out, but we’re gonna try",0,"07/23/2025 19:26",,"IG story",,Lifetime,20976,19481,155,0,19,49,22478,,,
18275939464276720,17841401475580469,nicki.entenmann,"Nicki Entenmann",,39,"07/24/2025 09:37",,"IG story",,Lifetime,22495,20146,67,0,19,5,19328,,,
17871518946305650,17841401475580469,nicki.entenmann,"Nicki Entenmann","Got B a grande milk right before swim lessons like an idiot and he spit it all up in the pool so lessons lasted 3 mins 
👍🏻👍🏻
#momfail",0,"07/24/2025 09:38",,"IG story",,Lifetime,22235,19241,35,0,18,13,18911,,,
17888633349184006,17841401475580469,nicki.entenmann,"Nicki Entenmann","FPM on Amazon budget",0,"07/24/2025 09:52",,"IG story",,Lifetime,21994,18787,45,0,5,7,21640,,316,
18305196973174310,17841401475580469,nicki.entenmann,"Nicki Entenmann","@myhumehealth  Let’s talk body comp!",56,"07/24/2025 12:01",,"IG story",,Lifetime,20149,18024,54,1,18,3,18063,,,
18511618576000702,17841401475580469,nicki.entenmann,"Nicki Entenmann","@myhumehealth  Code NICKI for up to 50% off!",59,"07/24/2025 12:01",,"IG story",,Lifetime,20442,17786,33,18,8,1,18120,17,551,
18066911255140770,17841401475580469,nicki.entenmann,"Nicki Entenmann","@myhumehealth  Gives a really great analysis of your body comp vs a old school scale which doesn’t take muscle, water weight, etc into consideration",59,"07/24/2025 12:01",,"IG story",,Lifetime,20364,17582,24,3,4,4,18610,109,,
17881787736234223,17841401475580469,nicki.entenmann,"Nicki Entenmann","Code: NICKI I asked for a code for you all that stacks on their sale to help you save UP TO 50% OFF TOTAL!!! Code is active for 24 hours! Click this link here to auto apply the discount 

(HSA/FSA qualifies as well!) @myhumehealth",48,"07/24/2025 12:01",,"IG story",,Lifetime,20409,17252,29,9,6,5,18647,40,832,
17927488482091878,17841401475580469,nicki.entenmann,"Nicki Entenmann","This is Ty’s  Mine Also forgot to mention you can have multiple people on the scale (each person will just need to download the app) 
(The free version is the only one I use too!)",0,"07/24/2025 12:12",,"IG story",,Lifetime,19738,16835,30,2,2,11,18425,,,
