"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18038128760295683,17841401475580469,nicki.entenmann,"Nicki Entenmann","Everyday should be special, because it is. Life is too short so enjoy every moment  God gave you-we never know when it’ll be our last ❤️

I hope I’m the hustle and bustle of motherhood, life, marriage, sports, work, friendships-you remember how amazing you’re doing. I’ll never forget those sleepless newborn nights and how they almost wrecked me -but would I would do for one of those nights now. Love you all ❤️",57,"05/01/2025 11:33",https://www.instagram.com/reel/DJHwNUxyixw/,"IG reel",,Lifetime,29866,21984,1558,30,9,54,26
18068931338120286,17841401475580469,nicki.entenmann,"Nicki Entenmann","Weight loss isn’t the most important thing about me, but it IS the foundation that gave me confidence to set boundaries, grow, and make hard decisions in other aspects of my life. 

I’m someone who follows thru. Says what she’s going to do and not let people treat her like shit anymore. She is proud of what she looks like and even more proud of how she feels. She’s truly happy in her skin, and for the first time in her life she’s at peace. 

This is all I want for everyone in this community!!! Tonight is the LAST NIGHT for $50 off my round starting Monday. Comment “link” if you wanna join! I’d also love to know your thoughts on this topic",56,"07/31/2025 18:06",https://www.instagram.com/reel/DMyxBIRg8nM/,"IG reel",,Lifetime,45248,31095,567,12,8,38,39
18054297032143900,17841401475580469,nicki.entenmann,"Nicki Entenmann","comment “link” for free sample pack. 

Over 75% of people are chronically low in electrolytes
Hydration isn’t just about water. You need sodium, magnesium, and potassium to actually feel energized.

Most people don’t need more caffeine—they need more salt.

I take electrolytes daily to fight fatigue, support my workouts, reduce cravings, and actually stay hydrated (because water alone doesn’t cut it 💧).

If you’re working out, eating clean, intermittent fasting, or just tired all the time… this might be the missing piece.
I use LMNT because it’s clean, zero sugar, and actually tastes GOOD.

🧂 Drop “link” below to shop my favorite electrolyte + get a FREE 8-pack sample with any purchase!

#lmnt #electrolytes #hydration #momenergy #sugarfree",0,"07/31/2025 06:43",https://www.instagram.com/p/DMxjcFFgU1e/,"IG carousel",,Lifetime,43952,14721,284,11,3,140,24
18029952275705040,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for a fun casual top refresh! I am a basic B thru and thru when it comes to closet staples! I love items I can wear in different ways, not always follow trendy cuts and prints and will last me longer than a season! 

Size S in tops
M in bodysuits",15,"07/30/2025 11:44",https://www.instagram.com/reel/DMvg_dWAA9a/,"IG reel",,Lifetime,57108,41350,708,6,13,1110,60
18072052901314931,17841401475580469,nicki.entenmann,"Nicki Entenmann","My 2025 heart in a single post ❤️

It’s been the best and most emotional year of my life-the confidence I’ve gained, the person I’m becoming, the mom I’m proud to be, the friend who loves hard, sets boundaries, slows down and is unapologetically herself.

You don’t have to like me, cuz I like me and for the first time in my life I can say that. Every single part of myself I’m proud of and I hope this inspires others to do the same 😘 ILYSM. You’re never too old to become the  best version of yourself

Audio is Emily orta on TikTok! I love her 😍😍😍",90,"07/29/2025 13:12",https://www.instagram.com/reel/DMtGJGVyDfd/,"IG reel",,Lifetime,75594,47537,2594,170,21,176,348
18335510041202765,17841401475580469,nicki.entenmann,"Nicki Entenmann","The secret is to avoid 🍆heads, not carbs 😛

Comment “link” for a meal guide to show you how many delicious carbs you can have and still lose fat!!",6,"07/28/2025 13:23",https://www.instagram.com/reel/DMqizYwyii6/,"IG reel",,Lifetime,251488,148259,6571,1310,44,426,302
18168522691357314,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for all my weekend favorites! 

Such a fun filled weekend with friends, family, sports , date nights, workouts and Hugo spritz! Soaking in the last few weeks of summer",0,"07/27/2025 12:51",https://www.instagram.com/p/DMn6Vl4yBA7/,"IG carousel",,Lifetime,70572,25480,654,3,6,655,48
18035081201449707,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for this dress! 

Fun little trend for a fun little date night! One of my all time favorite dresses that I’ve had for years and still get compliments on every single time I wear it. Also keep praying on my downfall haters 😘",10,"07/27/2025 08:00",https://www.instagram.com/reel/DMnY_K3gaR5/,"IG reel",,Lifetime,97141,57853,2047,107,18,1254,229
18362446612149965,17841401475580469,nicki.entenmann,"Nicki Entenmann","If AI said it, it must be true right 😏

#momhumour #momhumor😂 #momlife #momof3 #marriagehumor #marriage",8,"07/25/2025 07:58",https://www.instagram.com/reel/DMiPKGqgjPi/,"IG reel",,Lifetime,181974,142908,5675,4329,21,94,226
17947066265978067,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for link to all of these !! I know it’s HOT but pretty soon we’re all gonna be cozied up, watching football and enjoying a crisp PSL or mimosa in our oversized sweatshirts. So many great options for comfy, grandpa, NFL and more! 

All sizing on links",54,"07/24/2025 12:23",https://www.instagram.com/reel/DMgIp8gSmFX/,"IG reel",,Lifetime,36191,26638,523,6,11,316,39
18334083319201997,17841401475580469,nicki.entenmann,"Nicki Entenmann","Knuckle sandwich if you’re mean to my man, friends or kids 👊👊
These are the lyrics JB havent released yet 😏",8,"07/23/2025 17:02",https://www.instagram.com/reel/DMeDyutA84s/,"IG reel",,Lifetime,270985,155608,4504,1528,49,51,310
18076639822767026,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for all my favorites! Investing in myself, quality over quantity, great skincare, gym and clothes that make me feel good in my skin has increased my confidence immensely! 

All sizing on links 😘",0,"07/23/2025 06:37",https://www.instagram.com/p/DMc8XjqAPFM/,"IG carousel",,Lifetime,110616,58764,1189,14,5,2867,111
17987554511828310,17841401475580469,nicki.entenmann,"Nicki Entenmann","Subtle reminder that your biggest haters aren’t the ones doing better than you! 

The people that have been there will support you-keep grinding, keep creating noise, taking up space. You should be intimidating",7,"07/22/2025 11:23",https://www.instagram.com/reel/DMa4Bs1A93T/,"IG reel",,Lifetime,81262,53781,1926,266,15,55,167
17887327827300059,17841401475580469,nicki.entenmann,"Nicki Entenmann","This trend is😬💅

Just a reminder that refusing to talk to someone you owe an apology to isn’t protecting peace, it’s avoiding accountability",9,"07/21/2025 15:11",https://www.instagram.com/reel/DMYthCAgslT/,"IG reel",,Lifetime,67968,41978,2006,257,23,56,155
18081576697860049,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” and I’ll send you more info and a $50 off code for my faster way round starting today! It is the foundation I used (and committed to 100% this year) to have the lifelong change I always wanted. 

It doesn’t have to be fancy or elaborate-it needs to be specific to you and your lifestyle. You have to work hard and dedicate yourself to change for longer than a month. Consistency, patience and challenging myself every step of the way has allowed me a 15 lbs weight loss in 19 months! I’m never turning back 😘",0,"07/21/2025 07:11",https://www.instagram.com/p/DMX2qSogRbU/,"IG carousel",,Lifetime,109147,63961,1787,61,5,335,283
17939380626045025,17841401475580469,nicki.entenmann,"Nicki Entenmann","It’s ok if you want to lose weight. There I said it- in fact, if it’s to BETTER your health and happiness, I encourage it.
Comment “link” if you want $50 off my round starting tmw! 

But before you can achieve it, you have to promise yourself you’ll stay consistent. 

The promises you make to yourself are the hardest to keep and easiest to break. 

The reason you lack confidence is because you lack self belief. And the reason you lack self belief is because you dont keep the promises you make to yourself. 

Ive told myself for years i would keep weight off once and for all- yet i always found a reason to stop because no one was looking. 

18 months ago  I finally stuck with it - not because i want to share it here, but because i promised myself i would do it- and im keeping that promise. And now im down almost 17 lbs 

When you make promises to yourself and you dont keep them, you reinforce the thought pattern that you are someone who doesnt follow thru-

Just starting with the little shit- making my bed, going to the gym, saving the money- follow thru on what you said you will do and it’ll bleed into every other capacity of your life

Show up. For you. But also for the people who are praying on your downfall 🫶🏻

Let’s go. Comment “link” here",29,"07/20/2025 08:00",https://www.instagram.com/reel/DMVXWY9AnXu/,"IG reel",,Lifetime,67934,46664,1565,14,11,91,65
18045928403559699,17841401475580469,nicki.entenmann,"Nicki Entenmann","The crisp white glasses always help! 
Send to your besties 

#momhumor😂 #mom #girlhood #girls #mommylife #wine #humor",9,"07/18/2025 07:40",https://www.instagram.com/reel/DMQLfOfgDHO/,"IG reel",,Lifetime,57892,36559,1213,434,4,19,25
18137390320425142,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment link for this light weight fun and designer inspired look on Amazon budget! I’m in size S (I saw runs TTS or size him if you’re curvier on bottom!) 
This is the perfect summer set for date night, dinner, girls day or event! It’s 2 pieces with elastic shorts and button shirts 

Makeup also linked so comment “link”",27,"07/17/2025 15:11",https://www.instagram.com/reel/DMN_BYqg2Nb/,"IG reel",,Lifetime,22222,16586,346,5,5,99,12
18409761928111462,17841401475580469,nicki.entenmann,"Nicki Entenmann","And they marry each other so the wife stays out of jail 😮‍💨😮‍💨

#marrige #marriagehumor #mom",6,"07/16/2025 13:02",https://www.instagram.com/reel/DMLmyOMyRgF/,"IG reel",,Lifetime,526237,304242,11720,9856,53,58,694
18349260259082097,17841401475580469,nicki.entenmann,"Nicki Entenmann","#fableticsambassador 
My July @fabletics order is HERE and it might be my favorite yet 😍
Fun prints, supportive sports bras, and flattering fits I’m wearing on repeat this summer!

Comment “link” to shop my favorite pieces!

If you’ve never ordered before, this is your sign:
✨ 80% off your first order when you join as a VIP!
✨ That’s 5 items for 80% off — and 70% off the rest of your cart.
✨ Ongoing: Up to 50% off everything with VIP!

Fabletics VIP also means:
✔️ A full 2-piece outfit monthly (or skip the month — no charge!)
✔️ Access to Women’s, Men’s, Scrubs, AND Yitty — all under one $60 membership.
✔️ Flexible shopping and huge savings every time.

Let me know your fave look or if you need sizing help — I’m in a small!",48,"07/15/2025 06:32",https://www.instagram.com/reel/DMIVYWtAAVX/,"IG reel",,Lifetime,16624,13402,252,6,2,42,5
17853499251481521,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’m talking to you keto girls 😂 (I was also guilty!!)) 
You don’t need go cut carbs, you need to cut the BS stopping you from achieving your goals. You can have lifelong change WITH carbs 👌😮‍💨

If you want of join my program starting monday on how I did it-comment “link” here. 
I have a $50 off code! 

The promises you make to yourself are the hardest to keep and easiest to break. 

The reason you lack confidence is because you lack self belief. And the reason you lack self belief is because you dont keep the promises you make to yourself. 

Ive told myself for years i would keep weight off once and for all- yet i always found a reason to stop because no one was looking. 

A year ago I finally stuck with it - not because i want to share it here, but because i promised myself i would do it- and im keeping that promise. And now im down 17 lbs in a year (gained a lot in 2024) 

When you make promises to yourself and you dont keep them, you reinforce the thought pattern that you are someone who doesnt follow thru-

Just starting with the little shit- making my bed, going to the gym, saving the money- follow thru on what you said you will do and it’ll bleed into every other capacity of your life

Show up. For you. But also for the people who are praying on your downfall 🫶🏻",10,"07/13/2025 09:16",https://www.instagram.com/reel/DMDefz_gK1O/,"IG reel",,Lifetime,67009,49613,688,14,4,55,27
17908602201177576,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” and I’ll send you my favorites from the Nsale! 

I honestly didn’t think it was that great this year so I focused on staples! Jammie’s, beauty and a refresh in sneakers!",0,"07/12/2025 08:07",https://www.instagram.com/p/DMAx6tCAY0U/,"IG carousel",,Lifetime,86519,55119,532,10,6,972,71
18085449136757092,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for all my mom top picks! Dresses, athleisure, shorts and more athleisure 😘😘",0,"07/10/2025 14:42",https://www.instagram.com/p/DL8VjzjA_Ky/,"IG carousel",,Lifetime,35465,19606,267,3,4,235,17
17907354909189239,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for all my top beauty picks! One category that killed it this year is beauty! 

Items I use daily and recommend to any girl-great deals, great prices, great products!",0,"07/10/2025 06:47",https://www.instagram.com/p/DL7fHhpgtfW/,"IG carousel",,Lifetime,112840,62795,673,12,0,1670,99
18062594009186008,17841401475580469,nicki.entenmann,"Nicki Entenmann","Some of us did heal in peace-but you best believe now that we have it, your lack of it won’t ruin ours. 

Healed while breaking generational trauma,  raising our own kids while  still partnering ourself. Fighting demons in silence. 

We didn’t get the luxury of pausing life to “find ourselves”. We had to become something stronger-right in the middle of the storm.",11,"07/09/2025 16:41",https://www.instagram.com/reel/DL5-VEiA69x/,"IG reel",,Lifetime,57598,44306,3502,391,16,44,220
17858163855450926,17841401475580469,nicki.entenmann,"Nicki Entenmann","⭐️comment “link” for direct links to my favorite undies! Thong, full booty, and workout specific! Great quality, great price! 

Comfort meets style, mom approved and all under $20! 

(I’m in S in all) 5’4 140 lbs ish size 4/6",54,"07/09/2025 07:29",https://www.instagram.com/reel/DL4-2PLs5X1/,"IG reel",,Lifetime,412,387,2,0,0,6,1
18048516641632829,17841401475580469,nicki.entenmann,"Nicki Entenmann","⭐️comment “link” for direct links to my favorite undies! Thong, full booty, and workout specific! Great quality, great price! 

Comfort meets style, mom approved and all under $20! 

(I’m in S in all) 5’4 140 lbs ish size 4/6",54,"07/09/2025 06:56",https://www.instagram.com/reel/DL47T6YARaa/,"IG reel",,Lifetime,42749,28892,386,18,6,958,62
18097790896604860,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for my no BS prime day list-things you’ll actually use as a busy mom! 100/10 recommend all these 

Follow on stories for more deals and gifting ❤️❤️",116,"07/08/2025 12:33",https://www.instagram.com/reel/DL28qP3uH5G/,"IG reel",,Lifetime,1148,1129,4,0,0,2,0
18513814510052336,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for my no BS prime day list-things you’ll actually use as a busy mom! 100/10 recommend all these 

Follow on stories for more deals and gifting ❤️❤️",116,"07/08/2025 12:17",https://www.instagram.com/reel/DL27PYBy4VO/,"IG reel",,Lifetime,54538,39258,798,33,12,2366,125
18131745337438305,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” here!  One of the best sales of the year is here and I’m starting with our favorite category-FITNESS!

I’ve found the best of the best so make sure to check out my stories too 🙌🏻",0,"07/08/2025 06:28",https://www.instagram.com/p/DL2TbcggMHP/,"IG carousel",,Lifetime,62381,32233,617,35,2,1975,84
18022160540711582,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for all my top picks in target dress category! 

All commission I make will be going to the Texas flood victims !!

All under $30 during sale-a lot are giving designer, old money, coastal vibes on target budget!

I am size S in almost everything (M in crochet dresses)
5’4” 140 lbs ish size 4-6

Follow for more casual mom, affordable fashion and simple fits!",22,"07/07/2025 13:01",https://www.instagram.com/reel/DL0beuTSWp2/,"IG reel",,Lifetime,678,653,0,0,0,0,0
18303594409172600,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for all my top picks in target dress category! All commission I make will be going to the Texas flood victims !!

All under $30 during sale-a lot are giving designer, old money, coastal vibes on target budget! 

I am size S in almost everything (M in crochet dresses) 

5’4” 140 lbs ish size 4-6 
Follow for more casual mom, affordable fashion and simple fits!",22,"07/07/2025 11:55",https://www.instagram.com/reel/DL0T_5agvlj/,"IG reel",,Lifetime,79465,58292,551,12,11,106,36
17889085779290755,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for the best picks during target circle week! 🎯

I did the work so you don’t have to! Clothes, bedding, beauty and more ❤️👌",0,"07/07/2025 07:02",https://www.instagram.com/p/DLzyd2vggtV/,"IG carousel",,Lifetime,46709,27907,417,40,0,416,42
17862065022430968,17841401475580469,nicki.entenmann,"Nicki Entenmann","Home ❤️🏡🇺🇸

Going where I grew up will always be home no matter how long we’re away. The simple life, slowing down and the chance for all of us (now city slickers 😬) to remember what’s truly important in the chaos of life. 

Our favorite week of the year in our favorite place ❤️",0,"07/05/2025 09:57",https://www.instagram.com/p/DLu85JFAT1z/,"IG carousel",,Lifetime,80554,50535,2974,2,4,58,14
18070129811014449,17841401475580469,nicki.entenmann,"Nicki Entenmann","Why do I need to be in so much pain after every workout? 😂 

It doesn’t have to be like that tho. If you want of join my program starting July 21 with home, gym and low impact workouts with a $50 discount comment “link” 

The promises you make to yourself are the hardest to keep and easiest to break. 

The reason you lack confidence is because you lack self belief. And the reason you lack self belief is because you dont keep the promises you make to yourself. 

Ive told myself for years i would keep weight off once and for all- yet i always found a reason to stop because no one was looking. 

A year ago I finally stuck with it - not because i want to share it here, but because i promised myself i would do it- and im keeping that promise. And now im down 17 lbs in a year (gained a lot in 2024) 

When you make promises to yourself and you dont keep them, you reinforce the thought pattern that you are someone who doesnt follow thru-

Just starting with the little shit- making my bed, going to the gym, saving the money- follow thru on what you said you will do and it’ll bleed into every other capacity of your life

Show up. For you. But also for the people who are praying on your downfall 🫶🏻",12,"07/03/2025 09:14",https://www.instagram.com/reel/DLpuVspgwk3/,"IG reel",,Lifetime,332124,274533,8745,7352,122,133,529
