"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18041858504599615,17841401475580469,nicki.entenmann,"Nicki Entenmann","🌟 comment “link” for direct links to these! Thong, full booty, and workout specific undies! Great quality, great price. 

Comfort meets style at unbeatable prices! Check my favorite thongs and full-coverage briefs, all under $25! ✨ Comment ‘link’ to shop now! #AmazonFinds #comfortstyle",68,"04/01/2025 11:02",https://www.instagram.com/reel/DH6cwfHg8lC/,"IG reel",,Lifetime,192157,152632,1791,188,122,3288,715
17926879049932143,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” to shop! 

Finding us the best undies-Part 2! From workouts to weekends, these Amazon undies have you covered—literally. Full-booty cotton, seamless Skims-style dupes, classic thongs, and sweat-wicking pairs that actually stay put. Comfy, affordable, and no-show approved. Your top drawer just leveled up. All under $25 a pack! 

#AmazonUnderwear #SkimsDupe #WorkoutUndies #SeamlessThong #CottonEssentials #LTKbasics #LTKfit #NoShowStyle #AffordableFinds #TopDrawerRefresh #UnderwearThatWorks #AmazonMustHaves #ComfyAndCute",68,"04/01/2025 11:14",https://www.instagram.com/reel/DH6d9XZOrNh/,"IG reel",,Lifetime,1993,1615,4,2,5,16,3
18133368526399694,17841401475580469,nicki.entenmann,"Nicki Entenmann","Where are my unbothered queens 😂

Since I don’t dress up…ever. A matching athleisure set is as dresses up as I get ☠️

Follow for more confidence, unbothered humor, and athleisure fits",11,"04/02/2025 08:09",https://www.instagram.com/reel/DH8txX0g9pY/,"IG reel",,Lifetime,35590,23600,1896,197,10,83,68
17882116743166414,17841401475580469,nicki.entenmann,"Nicki Entenmann","Your girl is back at it and hitting the training hard!! I’m officially doing the lunges and row for our @hyroxamerica relay! Working on perfecting form before increasing pace 

Leg day workout: more reps than heavy weight 
100M weights lunges (comp weight) 

Gym: @paragonathleticcenter 
Trainer: @calebfitco 

#gymtok #momswhotiktok #momswhoworkout #momlife #hyroxtraining #hyrox",60,"04/02/2025 16:56",https://www.instagram.com/reel/DH9qF9AA5dv/,"IG reel",,Lifetime,24370,17263,1164,4,6,23,18
18085434310623002,17841401475580469,nicki.entenmann,"Nicki Entenmann","Emotional intelligence is one of the most underrated glow ups someone can have IMO. 

To stay in control, speak respectfully and logically even when mad will always have the upper hand. 

I’ve made wiser decisions, better relationships and invested time where it counts just by learning how to pause before getting defensive 

Would love to hear your thoughts on this one in comments!",39,"04/03/2025 16:50",https://www.instagram.com/reel/DIAOJ_Jguaw/,"IG reel",,Lifetime,43300,32319,1922,72,24,56,154
18046711475585148,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for my 5 day trial and free basic b meal ideas and simplistic mom menu! 

Ain’t nobody got time for elaborate or fancy cooking! It doesn’t have to be complicated to be effective! 

I’ve lost 17 lbs in the last year by staying diligent with nutrition and now it’s integrated into my daily life! Stay consistent and patient. Follow for more simple basic meals 🫶🏻",28,"04/04/2025 10:26",https://www.instagram.com/reel/DICHF8GggsO/,"IG reel",,Lifetime,215028,154035,4009,163,264,1103,981
18036947240546594,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for my 5 day trial and free basic b meal ideas and simplistic mom menu!

Ain’t nobody got time for elaborate or fancy cooking! It doesn’t have to be complicated to be effective!

I’ve lost 17 los in the last year by staying diligent with nutrition and now it’s integrated into my daily life! Stay consistent and patient. 

Follow for more simple basic meals 🫶🏻",28,"04/05/2025 05:09",https://www.instagram.com/reel/DIEHmhNu_zn/,"IG reel",,Lifetime,1342,1229,11,1,6,0,1
18055471457469898,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for my go to spring combo. Lip stain with a gloss on top is 💅

I also linked some of my favorite makeup Sephora makeup picks from the sale! 

Doesn’t transfer, long lasting and fun bright colors 🫶🏻 wear the damn lip",11,"04/05/2025 08:48",https://www.instagram.com/reel/DIEgrwBg9_M/,"IG reel",,Lifetime,76896,49123,1865,24,5,622,60
18046565927092763,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for my go to spring combo.
Lip stain with a gloss on top is 👌

I also linked some of my favorite makeup Sephora makeup picks from the sale!

Doesn’t transfer, long lasting and fun bright colors the damn lip",11,"04/05/2025 10:09",https://www.instagram.com/reel/DIEpznvOw5e/,"IG reel",,Lifetime,1566,1341,9,0,0,1,0
17901132105054311,17841401475580469,nicki.entenmann,"Nicki Entenmann","The girls that get this one, really get it ❤️

The weighted lifted by becoming something other than the angry and bitter person you were becoming. The growth over victim mindset. The boundary setting and the peace that comes with it-the small circle and happiness. there is no freedom like it.",12,"04/06/2025 15:45",https://www.instagram.com/reel/DIH1IJlAr7-/,"IG reel",,Lifetime,59091,40929,3650,218,6,62,137
